operator,street,postcode,city,lat,lon,current,kw,plug,prices_eur_per_kwh,points_per_price,ratio,energy_rate_ids,site_id,evse_ids_cheapest_first
Stroohm,Tervuursesteenweg 564,1982,Elewijt,50.975363,4.50087,AC,4.6,iec62196T2,0.5445 / 0.7260,14 / 2,1.33,409683156 409687220,Stroohm-90991404,NLLMSE1712886*1=0.5445(available) NLLMSE1708289*1=0.5445(available) NLLMSE1708289*2=0.5445(available) NLLMSE1708333*1=0.5445(available) NLLMSE1712886*2=0.5445(available) NLLMSE1708343*2=0.5445(available) NLLMSE1708333*2=0.5445(available) NLLMSE1708287*2=0.5445(available) NLLMSE1708328*2=0.5445(available) NLLMSE1708328*1=0.5445(available) NLLMSE1708343*1=0.5445(charging) NLLMSE1708332*1=0.5445(available) NLLMSE1708332*2=0.5445(available) NLLMSE1708287*1=0.5445(available) NLLMSE1708354*2=0.7260(available) NLLMSE1708354*1=0.7260(available)
Servolt,winning 14,2870,Ruisbroek,51.059367,4.329245,AC,7.4,iec62196T2,0.5445 / 0.7260,1 / 2,1.33,422862294 422862859,Servolt-91378968,BELMSE1234897086*1=0.5445(available) BELMSE1234897085*2=0.7260(available) BELMSE1234897085*1=0.7260(available)
Eneco,Egide Walschaertsstraat 1 A,2800,Mechelen,51.00929,4.46538,AC,22.0,iec62196T2,0.3388 / 0.3993 / 0.4477,2 / 2 / 2,1.32,WS028 WS037 XS02,Eneco-EE3FCCAE-E55B-466E-8613-18200D4D9F56,BE*ENE*EENECO*G45718*1=0.3388(available) BE*ENE*EENECO*G45718*2=0.3388(available) BE*ENE*EENECO*G38757*1=0.3993(available) BE*ENE*EENECO*G38757*2=0.3993(available) BE*ENE*EENECO*G43751*2=0.4477(available) BE*ENE*EENECO*G43751*1=0.4477(available)
Gabriels,Nieuwstraat 68,9280,Wieze,50.984253,4.091164,AC,22.0,iec62196T2,0.4500 / 0.5900,6 / 1,1.31,1501 1956,Gabriels-201748,BE*GAB*E8002300301=0.4500(inoperative) BE*GAB*E8002300401=0.4500(inoperative) BE*GAB*E8002300201=0.4500(inoperative) BE*GAB*E8002300202=0.4500(inoperative) BE*GAB*E8002300302=0.4500(inoperative) BE*GAB*E8002300101=0.4500(unknown) BE*GAB*E8002300402=0.5900(inoperative)
50five,Ketenislaan 1,9130,Kallo,51.271493,4.298182,AC,7.4,iec62196T2,0.5445 / 0.7018,29 / 6,1.29,175491280 215019507,50five-90152239,NLLMSE1000149079*1=0.5445(available) NLLMSE1000148534*2=0.5445(available) NLLMSE1000148541*2=0.5445(available) NLLMSE1000152390*1=0.5445(available) NLLMSE1000152376*1=0.5445(available) NLLMSE1000152377*2=0.5445(available) NLLMSE1000148534*1=0.5445(available) NLLMSE1000152375*2=0.5445(available) NLLMSE1000152403*1=0.5445(available) NLLMSE1000148538*1=0.5445(available) NLLMSE1000148529*2=0.5445(available) NLLMSE1000152403*2=0.5445(available) NLLMSE1000152371*1=0.5445(available) NLLMSE1000148529*1=0.5445(available) NLLMSE1000152389*2=0.5445(available) NLLMSE1000152389*1=0.5445(available) NLLMSE1000148538*2=0.5445(available) NLLMSE1000148533*1=0.5445(available) NLLMSE1000148531*2=0.5445(available) NLLMSE1000152371*2=0.5445(available) NLLMSE1000152395*2=0.5445(available) NLLMSE1000148533*2=0.5445(available) NLLMSE1000148541*1=0.5445(available) NLLMSE1000152375*1=0.5445(available) NLLMSE1000152376*2=0.5445(available) NLLMSE1000152390*2=0.5445(available) NLLMSE1000148531*1=0.5445(available) NLLMSE1000152395*1=0.5445(available) NLLMSE1000152377*1=0.5445(available) NLLMSE1234629828*2=0.7018(available) NLLMSE1234629829*2=0.7018(available) NLLMSE1234614796*1=0.7018(available) NLLMSE1234629828*1=0.7018(available) NLLMSE1234629829*1=0.7018(available) NLLMSE1234614796*2=0.7018(available)
Gabriels,Houtemstraat 25,9860,Oosterzele,50.942859,3.822503,AC,22.0,iec62196T2,0.5000 / 0.6400,5 / 1,1.28,1973 4597,Gabriels-201769,BE*GAB*E8000000301=0.5000(available) BE*GAB*E8000000201=0.5000(available) BE*GAB*E8000000101=0.5000(available) BE*GAB*E8000000302=0.5000(available) BE*GAB*E8000000202=0.5000(available) BE*GAB*E8000000102=0.6400(available)
Eneco,Hunderenveldlaan 10,1082,Sint-Agatha-Berchem,50.87027,4.28633,AC,11.0,iec62196T2,0.4356 / 0.5566,6 / 6,1.28,WS036 WS046,Eneco-6A7FB4C5-E51B-4DE5-AEA8-18CA44AF88F6,BE*ENE*EENECO*G730184*2=0.4356(available) BE*ENE*EENECO*G730176*1=0.4356(available) BE*ENE*EENECO*G730182*2=0.4356(available) BE*ENE*EENECO*G730176*2=0.4356(available) BE*ENE*EENECO*G730184*1=0.4356(available) BE*ENE*EENECO*G730182*1=0.4356(available) BE*ENE*EENECO*G46002*2=0.5566(unknown) BE*ENE*EENECO*G45986*1=0.5566(available) BE*ENE*EENECO*G46002*1=0.5566(unknown) BE*ENE*EENECO*G45998*2=0.5566(available) BE*ENE*EENECO*G45998*1=0.5566(available) BE*ENE*EENECO*G45986*2=0.5566(available)
Eneco,Hunderenveldlaan 10,1082,Sint-Agatha-Berchem,50.87027,4.28633,AC,22.0,iec62196T2,0.4356 / 0.5566,18 / 7,1.28,WS036 WS046,Eneco-6A7FB4C5-E51B-4DE5-AEA8-18CA44AF88F6,BE*ENE*EENECO*G43853*2=0.4356(available) BE*ENE*EENECO*G43843*2=0.4356(available) BE*ENE*EENECO*G43847*1=0.4356(available) BE*ENE*EENECO*G732567*1=0.4356(available) BE*ENE*EENECO*G43848*1=0.4356(available) BE*ENE*EENECO*G43853*1=0.4356(available) BE*ENE*EENECO*G43845*1=0.4356(available) BE*ENE*EENECO*G732563*1=0.4356(available) BE*ENE*EENECO*G732564*1=0.4356(available) BE*ENE*EENECO*G43848*2=0.4356(available) BE*ENE*EENECO*G43847*2=0.4356(available) BE*ENE*EENECO*G43846*2=0.4356(available) BE*ENE*EENECO*G732603*1=0.4356(available) BE*ENE*EENECO*G732571*1=0.4356(available) BE*ENE*EENECO*G43845*2=0.4356(available) BE*ENE*EENECO*G732610*1=0.4356(available) BE*ENE*EENECO*G43843*1=0.4356(available) BE*ENE*EENECO*G43846*1=0.4356(available) BE*ENE*EENECO*G43709*1=0.5566(available) BE*ENE*EENECO*G43713*2=0.5566(unknown) BE*ENE*EEVB*P2018045*2=0.5566(available) BE*ENE*EENECO*G43709*2=0.5566(available) BE*ENE*EENECO*G42783*1=0.5566(available) BE*ENE*EENECO*G43713*1=0.5566(unknown) BE*ENE*EEVB*P2018045*1=0.5566(outOfOrder)
Powered By Zeno,Ysselaarlaan 25,2630,Aartselaar,51.145293,4.385172,AC,22.0,iec62196T2,0.3872 / 0.4840,1 / 1,1.25,169dcdd2-7018-47dc-9528-63c190b8c4cf a824bfadfdb84123acbc88cf5bf3a981,Powered By Zeno-00b35b90-07a1-43cf-a5b9-994ef8a6570f,BE*GFX*ESMP*6231002667*1=0.3872(available) BE*GFX*ESMP*6231002691*1=0.4840(unknown)
50five,Urselweg 55,9990,Maldegem,51.17348,3.465814,AC,3.7,iec62196T2,0.5566 / 0.6897,1 / 1,1.24,425285206 425285434,50five-91149998,BE505E1234784076*1=0.5566(available) BE505E1234764988*1=0.6897(available)
G&V,Krommebeekpark 6,8800,Roeselare,50.975048,3.157082,AC,7.4,iec62196T2,0.3630 / 0.4477,5 / 6,1.23,248502301 564480395,G&V-91266579,BECAPE1234714322*2023988=0.3630(available) BECAPE1234714322*2023638=0.3630(available) BECAPE1234714322*2021018=0.3630(available) BECAPE1234714322*1950793=0.3630(available) BECAPE1234714322*1917130=0.3630(available) BECAPE1234865720*2026002=0.4477(available) BECAPE1234865720*2021265=0.4477(available) BECAPE1234865720*2020491=0.4477(available) BECAPE1234865720*2010179=0.4477(available) BECAPE1234865720*1950298=0.4477(available) BECAPE1234865720*1908654=0.4477(available)
MobilityPlus,Brusselsesteenweg 56,3020,Herent,50.887628,4.664207,AC,7.4,iec62196T2,0.4925 / 0.5989,1 / 5,1.22,BEMBPT121396 GRP-71332,MobilityPlus-BEMOBL25469,BE*MBP*E4391*2=0.4925(available) BE*MBP*E4392*1=0.5989(available) BE*MBP*E881*1=0.5989(available) BE*MBP*E4391*1=0.5989(available) BE*MBP*E4392*2=0.5989(available) BE*MBP*E881*2=0.5989(available)
novoeco | recharge (BayWa),Rue de l'Entreprise 13,4530,Villers-le-Bouillet,50.583205,5.271454,AC,3.7,iec62196T2,0.6413 / 0.7744,2 / 4,1.21,198663748 338902598,novoeco | recharge (BayWa)-90361462,LUBAYE1234695036*2=0.6413(available) LUBAYE1234695036*1=0.6413(available) LUBAYE1234713060*1=0.7744(available) LUBAYE1234713060*2=0.7744(available) LUBAYE1234713059*2=0.7744(available) LUBAYE1234713059*1=0.7744(available)
EVECHARGE,1 er Avenue 22/40,4040,Herstal,50.690324,5.619174,AC,7.4,iec62196T2,0.6050 / 0.7260,4 / 12,1.20,313334091 362742755,EVECHARGE-90268780,BELMSE1234636830*1=0.6050(available) BELMSE1234636831*1=0.6050(available) BELMSE1234636828*1=0.6050(available) BELMSE1234636829*1=0.6050(available) BELMSE1234636808*1=0.7260(available) BELMSE1234636819*1=0.7260(available) BELMSE1234636816*1=0.7260(available) BELMSE1234636814*1=0.7260(available) BELMSE1234636809*1=0.7260(available) BELMSE1234636818*1=0.7260(available) BELMSE1234636812*1=0.7260(available) BELMSE1234636811*1=0.7260(available) BELMSE1234636817*1=0.7260(available) BELMSE1234636813*1=0.7260(available) BELMSE1234636810*1=0.7260(available) BELMSE1234636815*1=0.7260(available)
Sparki,Laarnebaan 1,9070,Destelbergen,51.03295,3.80425,DC,320.0,iec62196T2COMBO,0.7900 / 0.9438,4 / 1,1.19,0e8aa15c21374325a93d1f022abcef26 EURE078,Sparki-750d2ee1-7f65-4e37-addb-914a3b7d93fa,BE*SPK*EMA*110*02*1=0.7900(available) BE*SPK*EMA*110*01*2=0.7900(available) BE*SPK*EMA*110*01*1=0.7900(available) BE*SPK*EMA*110*02*2=0.7900(available) BE*SPK*EBE*SPK*EMA*110*02*1=0.9438(unknown)
Eneco,Rue du Wérihet 61,4020,Liège,50.67744,5.64965,AC,22.0,iec62196T2,0.3388 / 0.3993,2 / 2,1.18,WS028 XS02,Eneco-F29D2554-B292-400D-A155-BE6164291521,BE*ENE*EENECO*G45685*2=0.3388(available) BE*ENE*EENECO*G45685*1=0.3388(available) BE*ENE*EENECO*G38751*1=0.3993(available) BE*ENE*EENECO*G38751*2=0.3993(available)
Eneco,Kuiermansstraat 1,1880,Kapelle-op-den-Bos,51.009536,4.361487,AC,11.0,iec62196T2,0.3993 / 0.4598,2 / 22,1.15,WS038 XS02,Eneco-6F826043-80BD-47D6-AB91-88A6726A70ED,BE*ENE*EACE0601113*2=0.3993(available) BE*ENE*EACE0601113*1=0.3993(available) BE*ENE*EACE0601079*1=0.4598(available) BE*ENE*EACE0601082*2=0.4598(available) BE*ENE*EACE0601080*1=0.4598(available) BE*ENE*EACE0601084*1=0.4598(available) BE*ENE*EACE0601102*1=0.4598(available) BE*ENE*EACE0601080*2=0.4598(available) BE*ENE*EACE0601116*1=0.4598(available) BE*ENE*EACE0601103*1=0.4598(available) BE*ENE*EACE0601120*2=0.4598(available) BE*ENE*EACE0601084*2=0.4598(available) BE*ENE*EACE0601112*2=0.4598(available) BE*ENE*EACE0601081*1=0.4598(available) BE*ENE*EACE0601103*2=0.4598(available) BE*ENE*EACE0601120*1=0.4598(available) BE*ENE*EACE0601112*1=0.4598(available) BE*ENE*EACE0601116*2=0.4598(available) BE*ENE*EACE0601102*2=0.4598(available) BE*ENE*EACE0601079*2=0.4598(available) BE*ENE*EACE0601081*2=0.4598(available) BE*ENE*EACE0601101*1=0.4598(available) BE*ENE*EACE0601082*1=0.4598(available) BE*ENE*EACE0601101*2=0.4598(available)
D’Ieteren Energy,Kortrijkstraat 349,8560,Wevelgem,50.819056,3.217939,AC,7.4,iec62196T2,0.9075 / 1.0285,2 / 1,1.13,386216597 386217493,D’Ieteren Energy-89085053,NLLMSE1000007047*1=0.9075(charging) NLLMSE1000007047*2=0.9075(available) NLLMSE1898928*1=1.0285(available)
Eneco,Brussels esteenweg 503G,9090,Melle,50.99419,3.82362,AC,22.0,iec62196T2,0.3993 / 0.4477,3 / 1,1.12,WS037 XS02,Eneco-2080FB8A-E8F5-49F1-BBB0-2E553A14AF63,BE*ENE*EENECO*G733539*2=0.3993(unknown) BE*ENE*EENECO*G733907*1=0.3993(available) BE*ENE*EENECO*G733539*1=0.3993(unknown) BE*ENE*EENECOG741262*1=0.4477(unknown)
50five,Sint Stevens Woluwestraat 55,1130,Haren,50.882294,4.433822,AC,3.7,iec62196T2,0.6050 / 0.6655,1 / 4,1.10,425285290 425285394,50five-91230397,BE505E1234842643*1=0.6050(available) BE505E1234781387*1=0.6655(unknown) BE505E1234784453*1=0.6655(unknown) BE505E1234783632*1=0.6655(unknown) BE505E1234781563*1=0.6655(unknown)
50five,monnikenwerve 13-19,8000,Brugge,51.248589,3.196902,AC,3.7,iec62196T2,0.6050 / 0.6655,10 / 20,1.10,425285290 425285394,50five-91180864,BE505E1234779607*1917549=0.6050(available) BE505E1234779607*1916312=0.6050(available) BE505E1234779607*1913005=0.6050(available) BE505E1234779607*2306240=0.6050(available) BE505E1234779607*1922652=0.6050(available) BE505E1234779607*1916133=0.6050(available) BE505E1234779607*1913089=0.6050(available) BE505E1234779607*2303116=0.6050(available) BE505E1234779607*2506152=0.6050(available) BE505E1234779607*1917050=0.6050(available) BE505E1234800148*1=0.6655(available) BE505E1234800160*1=0.6655(available) BE505E1234800144*1=0.6655(charging) BE505E1234800158*1=0.6655(available) BE505E1234800156*1=0.6655(available) BE505E1234800157*1=0.6655(available) BE505E1234800150*1=0.6655(charging) BE505E1234800147*1=0.6655(available) BE505E1234800161*1=0.6655(available) BE505E1234800162*1=0.6655(available) BE505E1234800146*1=0.6655(available) BE505E1234800154*1=0.6655(available) BE505E1234800153*1=0.6655(available) BE505E1234800151*1=0.6655(available) BE505E1234800163*1=0.6655(available) BE505E1234800152*1=0.6655(available) BE505E1234800159*1=0.6655(available) BE505E1234800149*1=0.6655(available) BE505E1234800145*1=0.6655(available) BE505E1234800155*1=0.6655(available)
Pluginvest,Bist 12,2630,Aartselaar,51.127681,4.373063,AC,3.7,iec62196T2,0.6413 / 0.7018,19 / 2,1.09,484864038 484864421,Pluginvest-89354022,NLLMSE1234859983*1=0.6413(available) NLLMSE1234639794*2=0.6413(available) NLLMSE1234639828*2=0.6413(unknown) NLLMSE1234639826*2=0.6413(unknown) NLLMSE1234639796*2=0.6413(available) NLLMSE1234639825*2=0.6413(unknown) NLLMSE1234639828*1=0.6413(unknown) NLLMSE1234639827*1=0.6413(available) NLLMSE1234639796*1=0.6413(available) NLLMSE1234639824*1=0.6413(available) NLLMSE1234639829*2=0.6413(available) NLLMSE1234859983*2=0.6413(charging) NLLMSE1234639795*1=0.6413(available) NLLMSE1234639824*2=0.6413(available) NLLMSE1234639827*2=0.6413(available) NLLMSE1234639826*1=0.6413(unknown) NLLMSE1234639795*2=0.6413(available) NLLMSE1234639829*1=0.6413(available) NLLMSE1234639825*1=0.6413(unknown) NLLMSE1234859956*1=0.7018(available) NLLMSE1234859956*2=0.7018(available)
Eneco,Haachtsesteenweg 236,1820,Melsbroek,50.91041,4.47863,AC,22.0,iec62196T2,0.3993 / 0.4356,8 / 6,1.09,WS036 XS02,Eneco-5ED23FA6-FA81-4BA1-8427-02EF87FB7688,BE*ENE*EENECO*G44290*1=0.3993(available) BE*ENE*EENECO*G43714*1=0.3993(available) BE*ENE*EENECO*G43711*1=0.3993(available) BE*ENE*EENECO*G44745*1=0.3993(unknown) BE*ENE*EENECO*G44290*2=0.3993(unknown) BE*ENE*EENECO*G44745*2=0.3993(unknown) BE*ENE*EENECO*G43714*2=0.3993(available) BE*ENE*EENECO*G43711*2=0.3993(available) BE*ENE*EENECO*G38886*2=0.4356(unknown) BE*ENE*EENECO*G38887*2=0.4356(available) BE*ENE*EENECO*G38887*1=0.4356(available) BE*ENE*EENECO*G38879*2=0.4356(available) BE*ENE*EENECO*G38879*1=0.4356(available) BE*ENE*EENECO*G38886*1=0.4356(unknown)
Blink Charging,Charles de Kerchovelaan 189,9000,Gent,51.0407,3.723177,AC,8.3,iec62196T2,0.4356 / 0.4719,12 / 10,1.08,72ab427e-400c-4e6e-81e3-1a6a10db4a0c ceebaa43-3cca-46c8-abe2-f1b4cbe82d61,Blink Charging-59dbbe7c-2188-47ca-b7be-e9102d8a1386,BEBLKErKns050002=0.4356(charging) BEBLKErKns060001=0.4356(available) BEBLKErKns060002=0.4356(available) BEBLKErKns030002=0.4356(available) BEBLKErKns030001=0.4356(available) BEBLKErKns040001=0.4356(available) BEBLKErKns020001=0.4356(charging) BEBLKErKns040002=0.4356(available) BEBLKErKns050001=0.4356(charging) BEBLKErKns020002=0.4356(charging) BEBLKErKns010002=0.4356(available) BEBLKErKns010001=0.4356(charging) BEBLKELECH010002=0.4719(charging) BEBLKELECH050002=0.4719(charging) BEBLKELECH010001=0.4719(charging) BEBLKELECH070002=0.4719(available) BEBLKELECH040001=0.4719(available) BEBLKELECH060001=0.4719(charging) BEBLKELECH040002=0.4719(available) BEBLKELECH070001=0.4719(charging) BEBLKELECH050001=0.4719(available) BEBLKELECH060002=0.4719(charging)
Stroohm,Atomiumsquare 1,1020,Brussel,50.894777,4.341444,AC,7.4,iec62196T2,0.5687 / 0.6050,96 / 1,1.06,258513133 513884992,Stroohm-90186502,NLLMSE1234620636*5=0.5687(available) NLLMSE1234619554*1=0.5687(available) NLLMSE1234619677*1=0.5687(available) NLLMSE1234619682*1=0.5687(available) NLLMSE1234620636*1=0.5687(available) NLLMSE1234619668*1=0.5687(available) NLLMSE1234619661*1=0.5687(available) NLLMSE1234619689*1=0.5687(available) NLLMSE1234656963*1=0.5687(available) NLLMSE1234619694*1=0.5687(available) NLLMSE1234619695*1=0.5687(available) NLLMSE1000139194*1=0.5687(available) NLLMSE1234654062*1=0.5687(available) NLLMSE1234714566*1=0.5687(available) NLLMSE1234621662*5=0.5687(available) NLLMSE1000139195*1=0.5687(available) NLLMSE1000139204*1=0.5687(available) NLLMSE1234654442*1=0.5687(available) NLLMSE1234621662*2=0.5687(available) NLLMSE1234619663*1=0.5687(available) NLLMSE1000139202*1=0.5687(available) NLLMSE1234619692*1=0.5687(available) NLLMSE1234619552*1=0.5687(available) NLLMSE1234620636*4=0.5687(available) NLLMSE1234654064*1=0.5687(available) NLLMSE1234619673*1=0.5687(available) NLLMSE1234619693*1=0.5687(available) NLLMSE1234619667*1=0.5687(available) NLLMSE1234619681*1=0.5687(available) NLLMSE1234620057*1=0.5687(available) NLLMSE1234620636*9=0.5687(available) NLLMSE1234619683*1=0.5687(available) NLLMSE1234620636*6=0.5687(available) NLLMSE1234654055*1=0.5687(available) NLLMSE1234619690*1=0.5687(available) NLLMSE1234619679*1=0.5687(available) NLLMSE1234619697*1=0.5687(available) NLLMSE1000139197*1=0.5687(available) NLLMSE1234620052*1=0.5687(available) NLLMSE1234619701*1=0.5687(available) NLLMSE1234619669*1=0.5687(available) NLLMSE1234654441*1=0.5687(available) NLLMSE1234619698*1=0.5687(available) NLLMSE1234654443*1=0.5687(available) NLLMSE1234654057*1=0.5687(available) NLLMSE1234619666*1=0.5687(available) NLLMSE1234619687*1=0.5687(available) NLLMSE1234654060*1=0.5687(available) NLLMSE1234619664*1=0.5687(available) NLLMSE1234621657*2=0.5687(available) NLLMSE1000139203*1=0.5687(available) NLLMSE1234620636*7=0.5687(available) NLLMSE1234620636*8=0.5687(available) NLLMSE1234619671*1=0.5687(available) NLLMSE1234654059*1=0.5687(available) NLLMSE1234620095*1=0.5687(unknown) NLLMSE1234620636*10=0.5687(available) NLLMSE1234714570*1=0.5687(available) NLLMSE1234621662*3=0.5687(available) NLLMSE1000139205*1=0.5687(available) NLLMSE1234620636*2=0.5687(available) NLLMSE1234619676*1=0.5687(available) NLLMSE1234619653*1=0.5687(available) NLLMSE1234619685*1=0.5687(available) NLLMSE1000139207*1=0.5687(available) NLLMSE1234619551*1=0.5687(available) NLLMSE1234619684*1=0.5687(available) NLLMSE1234621662*6=0.5687(available) NLLMSE1234619686*1=0.5687(available) NLLMSE1000139206*1=0.5687(available) NLLMSE1234654180*1=0.5687(available) NLLMSE1000139200*1=0.5687(available) NLLMSE1234621655*1=0.5687(available) NLLMSE1234654061*1=0.5687(available) NLLMSE1234619665*1=0.5687(available) NLLMSE1000139196*1=0.5687(available) NLLMSE1234619662*1=0.5687(available) NLLMSE1234619670*1=0.5687(available) NLLMSE1234654439*1=0.5687(available) NLLMSE1234621657*1=0.5687(available) NLLMSE1234619680*1=0.5687(available) NLLMSE1234654058*1=0.5687(available) NLLMSE1234620636*3=0.5687(available) NLLMSE1000139201*1=0.5687(available) NLLMSE1234619553*1=0.5687(available) NLLMSE1000139198*1=0.5687(available) NLLMSE1234619700*1=0.5687(available) NLLMSE1234619691*1=0.5687(available) NLLMSE1234654054*1=0.5687(available) NLLMSE1234619655*1=0.5687(available) NLLMSE1234621655*2=0.5687(available) NLLMSE1000139199*1=0.5687(available) NLLMSE1234619699*1=0.5687(available) NLLMSE1234619678*1=0.5687(available) NLLMSE1234619696*1=0.5687(available) NLLMSE1234620051*1=0.5687(charging) NLLMSE1000145284*1=0.6050(available)
Stroohm,Atomiumsquare 1,1020,Brussel,50.897635,4.342564,AC,7.4,iec62196T2,0.5687 / 0.6050,1 / 14,1.06,258513133 513884992,Stroohm-91368690,NLLMSE1234654047*1=0.5687(available) NLLMSE1234883246*1=0.6050(available) NLLMSE1234883245*1=0.6050(available) NLLMSE1234654046*1=0.6050(unknown) NLLMSE1234920422*1=0.6050(outOfOrder) NLLMSE1234654051*1=0.6050(available) NLLMSE1234654048*1=0.6050(available) NLLMSE1234883243*1=0.6050(available) NLLMSE1234920423*1=0.6050(available) NLLMSE1234883247*1=0.6050(available) NLLMSE1234654044*1=0.6050(available) NLLMSE1234883244*1=0.6050(available) NLLMSE1234883242*1=0.6050(available) NLLMSE1234654045*1=0.6050(available) NLLMSE1234654052*1=0.6050(available)
Eneco,Kolonel Dusartplein 20,3500,Hasselt,50.93122,5.34305,AC,22.0,iec62196T2,0.3993 / 0.4235,2 / 4,1.06,WS035 XS02,Eneco-1633AB06-8397-40BD-BD17-D1E61E007577,BE*ENE*EEVB*P21151765*2=0.3993(unknown) BE*ENE*EEVB*P21151765*1=0.3993(unknown) BE*ENE*EENECO*G45793*2=0.4235(available) BE*ENE*EENECO*G45797*2=0.4235(available) BE*ENE*EENECO*G45793*1=0.4235(available) BE*ENE*EENECO*G45797*1=0.4235(available)
ENGIE Vianeo,Karel van de Woestijnestraat 57,9300,Aalst,50.935333,4.026709,AC,22.0,iec62196T2,0.4114 / 0.4356,2 / 2,1.06,30f01d045e564360ae6cce15ff50b490 79a6ab8e447d437a93af37adb0f99a35,ENGIE Vianeo-24296338-95B5-4E9C-8823-F58A61F62DAC,BE*VIA*E1813676*2=0.4114(charging) BE*VIA*E1813676*1=0.4114(charging) BE*VIA*E1818815*1=0.4356(unknown) BE*VIA*E1818815*2=0.4356(unknown)
Q8 electric,Chaussée de Charleroi 107,6150,Anderlues,50.406106,4.281537,DC,400.0,iec62196T2COMBO,0.6899 / 0.7260,1 / 5,1.05,COM318 COM344,Q8 electric-ab8bae70-11fd-4d59-82d0-260a0951e55c,BE*Q8E*E10951502=0.6899(available) BE*Q8E*E10951506=0.7260(available) BE*Q8E*E10951501=0.7260(available) BE*Q8E*E10951505=0.7260(available) BE*Q8E*E10951503=0.7260(available) BE*Q8E*E10951504=0.7260(available)
Q8 electric,E42,4537,Verlaine,50.592071,5.303961,DC,50.0,iec62196T2COMBO,0.6899 / 0.7260,2 / 2,1.05,COM318 COM344,Q8 electric-e944765b-d256-4153-8f00-7467e4aca5b7,BE*Q8E*E10833902=0.6899(available) BE*Q8E*E10833901=0.6899(inoperative) BE*Q8E*E10833903=0.7260(available) BE*Q8E*E10833904=0.7260(available)
D’Ieteren Energy,"Korte Magerstraat, 4",9050,Gentbrugge,51.034682,3.757175,AC,7.4,iec62196T2,0.7502 / 0.7865,2 / 3,1.05,386215364 386215751,D’Ieteren Energy-89288253,NLLMSE1000029470*1=0.7502(available) NLLMSE1000029470*2=0.7502(available) NLLMSE1000028934*2=0.7865(available) NLLMSE1000049617*1=0.7865(available) NLLMSE1000028934*1=0.7865(available)
MobilityPlus,Prins Boudewijnlaan 7B,2550,Kontich,51.140295,4.436414,AC,7.4,iec62196T2,0.5723 / 0.5989,2 / 12,1.05,GRP-2223 GRP-71332,MobilityPlus-BEMOBL156010,BE*MBP*E5345*2=0.5723(available) BE*MBP*E5345*1=0.5723(available) BE*MBP*E5326*1=0.5989(available) BE*MBP*E14244*1=0.5989(available) BE*MBP*E14244*2=0.5989(available) BE*MBP*E5339*2=0.5989(available) BE*MBP*E5339*1=0.5989(available) BE*MBP*E5327*2=0.5989(outOfOrder) BE*MBP*E5335*2=0.5989(available) BE*MBP*E14245*1=0.5989(available) BE*MBP*E5335*1=0.5989(available) BE*MBP*E14245*2=0.5989(available) BE*MBP*E5327*1=0.5989(outOfOrder) BE*MBP*E5326*2=0.5989(available)
50five,Venhof 6,2110,Wijnegem,51.235647,4.496884,AC,3.7,iec62196T2,0.5566 / 0.5808,1 / 1,1.04,417371019 425285206,50five-91283807,BE505E1234872827*1=0.5566(available) NL505E1234844356*1=0.5808(available)
50five,Klaverbladstraat 12,3560,Lummen,50.99605,5.228058,AC,7.4,iec62196T2,0.7139 / 0.7381,1 / 1,1.03,425285471 425285519,50five-91108998,BE505E1234768600*1=0.7139(available) BE505E1234768221*1=0.7381(available)
Eneco,Koordekenshoef 83,2030,Antwerpen,51.250685,4.392622,AC,11.0,iec62196T2,0.3872 / 0.3993,4 / 10,1.03,XS01 XS02,Eneco-4E555930-2685-45AF-A7F8-22C5B7545A77,BE*ENE*EENECO*G46221*1=0.3872(unknown) BE*ENE*EENECO*G46220*1=0.3872(available) BE*ENE*EENECO*G46220*2=0.3872(outOfOrder) BE*ENE*EENECO*G46221*2=0.3872(unknown) BE*ENE*EENECO*G46210*1=0.3993(available) BE*ENE*EENECO*G46190*1=0.3993(available) BE*ENE*EENECO*G46219*2=0.3993(unknown) BE*ENE*EENECO*G46200*2=0.3993(available) BE*ENE*EENECO*G46218*1=0.3993(available) BE*ENE*EENECO*G46200*1=0.3993(available) BE*ENE*EENECO*G46190*2=0.3993(available) BE*ENE*EENECO*G46219*1=0.3993(unknown) BE*ENE*EENECO*G46218*2=0.3993(available) BE*ENE*EENECO*G46210*2=0.3993(available)
Eneco,Chaussèe de Tournai 8 02,7520,Ramegnies-Chin,50.63103,3.3582,AC,22.0,iec62196T2,0.4840 / 0.4961,7 / 2,1.02,WS040 WS041,Eneco-8AB7AD6B-1E29-4335-827C-09A4298D8C88,BE*ENE*EENECO*G33579*2=0.4840(available) BE*ENE*EENECO*G33567*1=0.4840(available) BE*ENE*EENECO*G34724*1=0.4840(charging) BE*ENE*EENECO*G34724*2=0.4840(available) BE*ENE*EENECO*G33634*1=0.4840(available) BE*ENE*EENECO*G33579*1=0.4840(available) BE*ENE*EENEDEL*000249*1=0.4840(unknown) BE*ENE*EENECO*G34720*2=0.4961(available) BE*ENE*EENECO*G34720*1=0.4961(available)
