operator,street,postcode,city,lat,lon,current,kw,plug,prices_eur_per_kwh,points_per_price,ratio,energy_rate_ids,site_id,evse_ids_cheapest_first
Luminus,Eikelaarstraat 32,3600,Genk,50.934057,5.484418,AC,3.7,iec62196T2,0.3678 / 0.5445,1 / 6,1.48,201055485 549152714,Luminus-90169085,BEEDFE1234612333*1=0.3678(available) BEEDFE1000146984*22091865=0.5445(available) BEEDFE1000146984*22091864=0.5445(available) BEEDFE1000146984*21441836=0.5445(available) BEEDFE1000146984*22090931=0.5445(available) BEEDFE1000146984*21441834=0.5445(available) BEEDFE1000146984*21441617=0.5445(available)
Stroohm,Kunstlaan 20,1000,Brussel,-43,-43,AC,7.4,iec62196T2,0.2904 / 0.3678 / 0.4246,1 / 10 / 13,1.46,409364347 549234344 549235389,Stroohm-89332768,NLLMSE1234637810*1=0.2904(available) NLLMSE1234636506*10=0.3678(available) NLLMSE1234636506*8=0.3678(available) NLLMSE1234636506*6=0.3678(available) NLLMSE1234636506*5=0.3678(available) NLLMSE1234636506*2=0.3678(available) NLLMSE1234636506*7=0.3678(available) NLLMSE1234636506*4=0.3678(available) NLLMSE1234636506*1=0.3678(available) NLLMSE1234636506*3=0.3678(available) NLLMSE1234636506*9=0.3678(available) NLLMSE1234637824*1=0.4246(available) NLLMSE1234637821*1=0.4246(available) NLLMSE1234637822*1=0.4246(available) NLLMSE1234637818*1=0.4246(available) NLLMSE1234637813*1=0.4246(available) NLLMSE1234637823*1=0.4246(available) NLLMSE1234637819*1=0.4246(available) NLLMSE1234637825*1=0.4246(available) NLLMSE1234637816*1=0.4246(available) NLLMSE1234637817*1=0.4246(available) NLLMSE1234637826*1=0.4246(available) NLLMSE1234637812*1=0.4246(available) NLLMSE1234637820*1=0.4246(available)
MobilityPlus,Culliganlaan 3,1831,Diegem,50.886435,4.452651,AC,7.4,iec62196T2,0.3993 / 0.5723,212 / 4,1.43,GRP-101 GRP-27023,MobilityPlus-273574,BE*MBP*E8865*2=0.3993(available) BE*MBP*E9028*2=0.3993(available) BE*MBP*E9778*1=0.3993(available) BE*MBP*E9745*1=0.3993(available) BE*MBP*E8906*2=0.3993(available) BE*MBP*E9060*1=0.3993(available) BE*MBP*E9754*1=0.3993(available) BE*MBP*E11155*2=0.3993(available) BE*MBP*E15520*1=0.3993(available) BE*MBP*E12939*1=0.3993(available) BE*MBP*E9028*1=0.3993(available) BE*MBP*E9743*1=0.3993(available) BE*MBP*E6695*2=0.3993(available) BE*MBP*E12923*1=0.3993(available) BE*MBP*E12919*2=0.3993(available) BE*MBP*E6700*2=0.3993(available) BE*MBP*E12930*1=0.3993(available) BE*MBP*E9747*1=0.3993(available) BE*MBP*E9742*1=0.3993(available) BE*MBP*E6685*2=0.3993(outOfOrder) BE*MBP*E15518*2=0.3993(available) BE*MBP*E12916*2=0.3993(available) BE*MBP*E6703*2=0.3993(available) BE*MBP*E12924*2=0.3993(available) BE*MBP*E6672*1=0.3993(available) BE*MBP*E8892*2=0.3993(available) BE*MBP*E12924*1=0.3993(available) BE*MBP*E12926*2=0.3993(available) BE*MBP*E11152*1=0.3993(available) BE*MBP*E11185*1=0.3993(charging) BE*MBP*E15518*1=0.3993(available) BE*MBP*E8884*1=0.3993(available) BE*MBP*E11168*2=0.3993(available) BE*MBP*E15514*1=0.3993(available) BE*MBP*E9053*1=0.3993(available) BE*MBP*E12921*2=0.3993(available) BE*MBP*E9781*2=0.3993(available) BE*MBP*E12923*2=0.3993(available) BE*MBP*E9763*2=0.3993(available) BE*MBP*E6685*1=0.3993(outOfOrder) BE*MBP*E8911*1=0.3993(available) BE*MBP*E8914*1=0.3993(available) BE*MBP*E9781*1=0.3993(available) BE*MBP*E9782*1=0.3993(available) BE*MBP*E9760*2=0.3993(charging) BE*MBP*E6703*1=0.3993(available) BE*MBP*E6682*1=0.3993(available) BE*MBP*E9768*1=0.3993(available) BE*MBP*E9059*1=0.3993(available) BE*MBP*E9778*2=0.3993(available) BE*MBP*E9757*2=0.3993(available) BE*MBP*E6694*2=0.3993(available) BE*MBP*E11152*2=0.3993(available) BE*MBP*E6673*1=0.3993(available) BE*MBP*E6696*2=0.3993(available) BE*MBP*E9059*2=0.3993(available) BE*MBP*E15517*1=0.3993(outOfOrder) BE*MBP*E8914*2=0.3993(available) BE*MBP*E6693*2=0.3993(available) BE*MBP*E9742*2=0.3993(available) BE*MBP*E11158*1=0.3993(available) BE*MBP*E15514*2=0.3993(available) BE*MBP*E15520*2=0.3993(available) BE*MBP*E8882*2=0.3993(available) BE*MBP*E9001*2=0.3993(available) BE*MBP*E9782*2=0.3993(available) BE*MBP*E9743*2=0.3993(available) BE*MBP*E15516*2=0.3993(available) BE*MBP*E12925*2=0.3993(available) BE*MBP*E6675*2=0.3993(available) BE*MBP*E9766*1=0.3993(available) BE*MBP*E12929*1=0.3993(available) BE*MBP*E9053*2=0.3993(available) BE*MBP*E11167*2=0.3993(available) BE*MBP*E8904*2=0.3993(available) BE*MBP*E9051*2=0.3993(available) BE*MBP*E8889*2=0.3993(available) BE*MBP*E9057*2=0.3993(available) BE*MBP*E9749*1=0.3993(available) BE*MBP*E9768*2=0.3993(available) BE*MBP*E6677*1=0.3993(available) BE*MBP*E6663*1=0.3993(available) BE*MBP*E11153*2=0.3993(available) BE*MBP*E12927*2=0.3993(available) BE*MBP*E12934*2=0.3993(available) BE*MBP*E8985*2=0.3993(available) BE*MBP*E12930*2=0.3993(available) BE*MBP*E11158*2=0.3993(available) BE*MBP*E11181*1=0.3993(available) BE*MBP*E8999*1=0.3993(available) BE*MBP*E8897*1=0.3993(available) BE*MBP*E12935*1=0.3993(available) BE*MBP*E6682*2=0.3993(available) BE*MBP*E7207*2=0.3993(available) BE*MBP*E6677*2=0.3993(available) BE*MBP*E9760*1=0.3993(available) BE*MBP*E12917*1=0.3993(available) BE*MBP*E9747*2=0.3993(available) BE*MBP*E8887*2=0.3993(available) BE*MBP*E6694*1=0.3993(available) BE*MBP*E9757*1=0.3993(available) BE*MBP*E11168*1=0.3993(charging) BE*MBP*E15516*1=0.3993(available) BE*MBP*E6696*1=0.3993(available) BE*MBP*E12929*2=0.3993(available) BE*MBP*E9751*1=0.3993(available) BE*MBP*E12925*1=0.3993(available) BE*MBP*E8889*1=0.3993(available) BE*MBP*E8882*1=0.3993(available) BE*MBP*E9751*2=0.3993(available) BE*MBP*E9741*2=0.3993(available) BE*MBP*E9761*2=0.3993(available) BE*MBP*E11156*1=0.3993(available) BE*MBP*E9749*2=0.3993(available) BE*MBP*E6702*1=0.3993(available) BE*MBP*E6693*1=0.3993(available) BE*MBP*E9032*1=0.3993(available) BE*MBP*E9741*1=0.3993(available) BE*MBP*E11153*1=0.3993(available) BE*MBP*E6663*2=0.3993(available) BE*MBP*E9763*1=0.3993(available) BE*MBP*E11155*1=0.3993(available) BE*MBP*E6673*2=0.3993(available) BE*MBP*E9001*1=0.3993(available) BE*MBP*E6695*1=0.3993(available) BE*MBP*E9776*1=0.3993(outOfOrder) BE*MBP*E11154*1=0.3993(available) BE*MBP*E12920*1=0.3993(available) BE*MBP*E9055*1=0.3993(available) BE*MBP*E8904*1=0.3993(available) BE*MBP*E9031*1=0.3993(available) BE*MBP*E6700*1=0.3993(available) BE*MBP*E12931*2=0.3993(available) BE*MBP*E8911*2=0.3993(available) BE*MBP*E12932*2=0.3993(available) BE*MBP*E9745*2=0.3993(available) BE*MBP*E12922*2=0.3993(available) BE*MBP*E8872*2=0.3993(available) BE*MBP*E12920*2=0.3993(available) BE*MBP*E9055*2=0.3993(available) BE*MBP*E12918*2=0.3993(available) BE*MBP*E12938*1=0.3993(available) BE*MBP*E8879*1=0.3993(available) BE*MBP*E9776*2=0.3993(available) BE*MBP*E12938*2=0.3993(available) BE*MBP*E9052*2=0.3993(available) BE*MBP*E11167*1=0.3993(available) BE*MBP*E12928*2=0.3993(available) BE*MBP*E12934*1=0.3993(available) BE*MBP*E15515*2=0.3993(available) BE*MBP*E8884*2=0.3993(available) BE*MBP*E6674*1=0.3993(available) BE*MBP*E8879*2=0.3993(available) BE*MBP*E12935*2=0.3993(available) BE*MBP*E9054*1=0.3993(available) BE*MBP*E9054*2=0.3993(available) BE*MBP*E9032*2=0.3993(available) BE*MBP*E8906*1=0.3993(available) BE*MBP*E8892*1=0.3993(available) BE*MBP*E15517*2=0.3993(outOfOrder) BE*MBP*E12921*1=0.3993(available) BE*MBP*E9754*2=0.3993(available) BE*MBP*E12919*1=0.3993(available) BE*MBP*E12927*1=0.3993(available) BE*MBP*E11169*1=0.3993(available) BE*MBP*E9000*1=0.3993(available) BE*MBP*E9052*1=0.3993(available) BE*MBP*E7207*1=0.3993(available) BE*MBP*E8897*2=0.3993(available) BE*MBP*E9746*1=0.3993(available) BE*MBP*E12917*2=0.3993(available) BE*MBP*E6672*2=0.3993(available) BE*MBP*E15519*2=0.3993(available) BE*MBP*E9746*2=0.3993(available) BE*MBP*E11185*2=0.3993(available) BE*MBP*E9774*2=0.3993(available) BE*MBP*E6674*2=0.3993(available) BE*MBP*E11181*2=0.3993(available) BE*MBP*E8985*1=0.3993(available) BE*MBP*E15519*1=0.3993(available) BE*MBP*E12926*1=0.3993(available) BE*MBP*E6702*2=0.3993(available) BE*MBP*E8999*2=0.3993(available) BE*MBP*E9031*2=0.3993(available) BE*MBP*E9051*1=0.3993(available) BE*MBP*E6686*1=0.3993(available) BE*MBP*E6686*2=0.3993(available) BE*MBP*E8901*2=0.3993(available) BE*MBP*E11154*2=0.3993(charging) BE*MBP*E12931*1=0.3993(available) BE*MBP*E11186*1=0.3993(available) BE*MBP*E12922*1=0.3993(available) BE*MBP*E8865*1=0.3993(available) BE*MBP*E8901*1=0.3993(available) BE*MBP*E12916*1=0.3993(available) BE*MBP*E12928*1=0.3993(available) BE*MBP*E9000*2=0.3993(available) BE*MBP*E12939*2=0.3993(available) BE*MBP*E9766*2=0.3993(available) BE*MBP*E12918*1=0.3993(available) BE*MBP*E6684*2=0.3993(available) BE*MBP*E11169*2=0.3993(available) BE*MBP*E9774*1=0.3993(available) BE*MBP*E11156*2=0.3993(available) BE*MBP*E6684*1=0.3993(available) BE*MBP*E8872*1=0.3993(available) BE*MBP*E8887*1=0.3993(available) BE*MBP*E12932*1=0.3993(available) BE*MBP*E15515*1=0.3993(available) BE*MBP*E9761*1=0.3993(available) BE*MBP*E9057*1=0.3993(available) BE*MBP*E6675*1=0.3993(available) BE*MBP*E11182*2=0.5723(available) BE*MBP*E11184*2=0.5723(available) BE*MBP*E11184*1=0.5723(available) BE*MBP*E11182*1=0.5723(available)
Eneco,Hagenbroeksesteenweg 167,2500,Lier,51.1488,4.5652,AC,11.0,iec62196T2,0.3267 / 0.4598,2 / 6,1.41,WS027 WS038,Eneco-B1875642-59B0-4581-838D-3E64D664ED85,BE*ENE*EENECO*G772747*2=0.3267(available) BE*ENE*EENECO*G772747*1=0.3267(charging) BE*ENE*EENECO*G772746*2=0.4598(available) BE*ENE*EENECO*G772743*1=0.4598(available) BE*ENE*EENECO*G772744*2=0.4598(available) BE*ENE*EENECO*G772743*2=0.4598(charging) BE*ENE*EENECO*G772744*1=0.4598(available) BE*ENE*EENECO*G772746*1=0.4598(available)
Eneco,Kapittelstraat 84 A,9310,Moorsel,50.94207,4.09022,AC,22.0,iec62196T2,0.4477 / 0.6292,1 / 1,1.41,WS037 WS052,Eneco-9A447B32-D9B3-4138-8881-1B1784B25164,BE*ENE*EENECO*G70598*1=0.4477(unknown) BE*ENE*EENECO*G72232*1=0.6292(available)
Lidl,Rue de Rotterdam 51,1080,Molenbeek-Saint-Jean,50.867966,4.339097,AC,22.0,iec62196T2,0.5000 / 0.7016,3 / 1,1.40,COM197 COM262,Lidl-a4afe7b5-1d04-4422-a625-fc86b163b3c1,BE*LDL*E00000680=0.5000(inoperative) BE*LDL*E00000679=0.5000(inoperative) BE*LDL*E00000681=0.5000(inoperative) BE*LDL*E00000678=0.7016(inoperative)
Stroohm,"Trichterheideweg 2A/bus 24, 3500 Hasselt",3500,Hasselt,50.938703,5.361575,AC,7.4,iec62196T2,0.4318 / 0.6050,2 / 2,1.40,409686694 549234917,Stroohm-91311144,NLLMSE1234882078*1=0.4318(available) NLLMSE1234882078*2=0.4318(available) NLLMSE1234882081*2=0.6050(available) NLLMSE1234882081*1=0.6050(available)
D’Ieteren Energy,BePark - Rue Vivier 3,4841,Welkenraedt,50.685636,5.935499,AC,7.4,iec62196T2,0.5445 / 0.7623,1 / 6,1.40,233501525 386212571,D’Ieteren Energy-90978596,NLLMSE1234575454*1=0.5445(available) NLLMSE1234672469*1=0.7623(available) NLLMSE1234672488*2=0.7623(available) NLLMSE1234672469*2=0.7623(available) NLLMSE1234672500*1=0.7623(available) NLLMSE1234672500*2=0.7623(available) NLLMSE1234672488*1=0.7623(available)
Eneco,Kouterbaan 40,1840,Malderen,51.02001,4.25037,AC,22.0,iec62196T2,0.3993 / 0.5445,2 / 8,1.36,WS045 XS02,Eneco-F4DEC0C6-61A5-4E23-9670-286C7A79B3D6,BE*ENE*EESTG*01639*1=0.3993(available) BE*ENE*EESTG*01639*2=0.3993(available) BE*ENE*EREXBE*4302*1=0.5445(available) BE*ENE*EREXBE*4304*1=0.5445(available) BE*ENE*EREXBE*4301*1=0.5445(available) BE*ENE*EREXBE*4301*2=0.5445(available) BE*ENE*EREXBE*4302*2=0.5445(available) BE*ENE*EENECO*G38760*2=0.5445(available) BE*ENE*EENECO*G38760*1=0.5445(available) BE*ENE*EREXBE*4304*2=0.5445(available)
MobilityPlus,Rue De Ransbeek 310,1120,Bruxelles,50.90111,4.400366,AC,7.4,iec62196T2,0.3461 / 0.4658,45 / 5,1.35,GRP-1047 GRP-1504,MobilityPlus-BEMOBL61402,BE*MBP*E2202*1=0.3461(available) BE*MBP*E2645*1=0.3461(available) BE*MBP*E2659*2=0.3461(available) BE*MBP*E2199*1=0.3461(available) BE*MBP*E2655*2=0.3461(available) BE*MBP*E2649*1=0.3461(available) BE*MBP*E2198*1=0.3461(available) BE*MBP*E2656*2=0.3461(available) BE*MBP*E2202*2=0.3461(available) BE*MBP*E2657*2=0.3461(available) BE*MBP*E2660*1=0.3461(available) BE*MBP*E2647*1=0.3461(available) BE*MBP*E2658*1=0.3461(available) BE*MBP*E2203*1=0.3461(available) BE*MBP*E2201*2=0.3461(outOfOrder) BE*MBP*E2201*1=0.3461(outOfOrder) BE*MBP*E2647*2=0.3461(available) BE*MBP*E2655*1=0.3461(available) BE*MBP*E2651*1=0.3461(available) BE*MBP*E2643*2=0.3461(available) BE*MBP*E2659*1=0.3461(available) BE*MBP*E2200*2=0.3461(available) BE*MBP*E2652*2=0.3461(available) BE*MBP*E2661*1=0.3461(available) BE*MBP*E2652*1=0.3461(available) BE*MBP*E2654*2=0.3461(available) BE*MBP*E2653*2=0.3461(available) BE*MBP*E2646*2=0.3461(available) BE*MBP*E2661*2=0.3461(available) BE*MBP*E2653*1=0.3461(available) BE*MBP*E2658*2=0.3461(available) BE*MBP*E2643*1=0.3461(available) BE*MBP*E2656*1=0.3461(available) BE*MBP*E2203*2=0.3461(available) BE*MBP*E2648*2=0.3461(available) BE*MBP*E2645*2=0.3461(available) BE*MBP*E2649*2=0.3461(available) BE*MBP*E2654*1=0.3461(available) BE*MBP*E2200*1=0.3461(available) BE*MBP*E2651*2=0.3461(available) BE*MBP*E2198*2=0.3461(available) BE*MBP*E2657*1=0.3461(available) BE*MBP*E2199*2=0.3461(available) BE*MBP*E2648*1=0.3461(outOfOrder) BE*MBP*E2660*2=0.3461(available) BE*MBP*E2663*1=0.4658(available) BE*MBP*E2646*1=0.4658(available) BE*MBP*E2204*1=0.4658(available) BE*MBP*E2664*1=0.4658(available) BE*MBP*E2197*1=0.4658(available)
